"","Region","Age.13","pop.perc","Applications","Offers","Applications.perc","Offers.perc","success","Index","Score"
"1","East",70482,9.45796705103105,3377,925,9.55601460143185,10.5702205462233,27.3911755996447,"Offers",1.11759963734183
"2","East Midlands",53521,7.18197347603974,1679,359,4.7511248196044,4.10238829848017,21.3817748659917,"Offers",0.571206272505242
"3","London",91268,12.2472366960855,8578,2100,24.2734655762755,23.9972574562907,24.4812310561903,"Offers",1.95940178603396
"4","North East",29662,3.98033850724558,673,190,1.90441155663714,2.17118043652154,28.2317979197623,"Offers",0.545476328852244
"5","Northern Ireland",24369,3.27007177813592,405,73,1.1460426158069,0.834190378242487,18.0246913580247,"Offers",0.255098491666141
"6","North West",83281,11.1754625858647,2948,705,8.34205834913269,8.05622214604045,23.9145183175034,"Offers",0.720884892606626
"7","Scotland",59523,7.98738078911667,800,167,2.26378788307536,1.90835333104788,20.875,"Offers",0.238921040755705
"8","South East",104430,14.0134431363919,7598,2015,21.5003254195082,23.0259398925837,26.5201368781258,"Offers",1.6431322172912
"9","South West",60656,8.13941785771316,3704,952,10.4813378986389,10.8787567135185,25.7019438444924,"Offers",1.33655218391441
"10","Wales",36193,4.85673223628681,1231,277,3.4834036050822,3.1653525311393,22.502030869212,"Offers",0.651745325280554
"11","West Midlands",69551,9.33303632652678,2664,568,7.53841365064094,6.49068677865387,21.3213213213213,"Offers",0.695452857094935
"12","Yorkshire/Humber",62277,8.35693955956217,1682,420,4.75961402416594,4.79945149125814,24.9702734839477,"Offers",0.574307311552412
"13","East",70482,9.45796705103105,3377,925,9.55601460143185,10.5702205462233,27.3911755996447,"Applications",1.01036666229347
"14","East Midlands",53521,7.18197347603974,1679,359,4.7511248196044,4.10238829848017,21.3817748659917,"Applications",0.661534720986502
"15","London",91268,12.2472366960855,8578,2100,24.2734655762755,23.9972574562907,24.4812310561903,"Applications",1.9819544750069
"16","North East",29662,3.98033850724558,673,190,1.90441155663714,2.17118043652154,28.2317979197623,"Applications",0.478454672428102
"17","Northern Ireland",24369,3.27007177813592,405,73,1.1460426158069,0.834190378242487,18.0246913580247,"Applications",0.350464055091841
"18","North West",83281,11.1754625858647,2948,705,8.34205834913269,8.05622214604045,23.9145183175034,"Applications",0.7464620175709
"19","Scotland",59523,7.98738078911667,800,167,2.26378788307536,1.90835333104788,20.875,"Applications",0.283420553350845
"20","South East",104430,14.0134431363919,7598,2015,21.5003254195082,23.0259398925837,26.5201368781258,"Applications",1.5342642925259
"21","South West",60656,8.13941785771316,3704,952,10.4813378986389,10.8787567135185,25.7019438444924,"Applications",1.28772574179939
"22","Wales",36193,4.85673223628681,1231,277,3.4834036050822,3.1653525311393,22.502030869212,"Applications",0.717231964952926
"23","West Midlands",69551,9.33303632652678,2664,568,7.53841365064094,6.49068677865387,21.3213213213213,"Applications",0.807712880021148
"24","Yorkshire/Humber",62277,8.35693955956217,1682,420,4.75961402416594,4.79945149125814,24.9702734839477,"Applications",0.569540319185376
